province_territory,municipality,source_class,canbics_class,street_view_url
on,brampton,on street bike lane,painted_bike_lane,"https://www.google.com/maps/place/60+Russell+Creek+Dr,+Brampton,+ON+L6R+3Z2/@43.7613557,-79.7805721,3a,75y,148.04h,69.1t/data=!3m7!1e1!3m5!1s8kf5USjiWkWJB4y7lkC7LQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D8kf5USjiWkWJB4y7lkC7LQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D228.88257%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m8!3m7!1s0x882b17a898eda3dd:0x93e5d26d82e7a6a2!2s60+Russell+Creek+Dr,+Brampton,+ON+L6R+3Z2!3b1!8m2!3d43.7612341!4d-79.7807637!16s%2Fg%2F11hbhhc73g!3m5!1s0x882b17a898eda3dd:0x93e5d26d82e7a6a2!8m2!3d43.7612341!4d-79.7807637!16s%2Fg%2F11hbhhc73g?entry=ttu"
on,brampton,on road signed route,shared_roadway,"https://www.google.com/maps/place/374+Queen+Mary+Dr,+Brampton,+ON+L7A+3T1/@43.7121782,-79.8258878,3a,75y,151.62h,91.77t/data=!3m7!1e1!3m5!1snVKgI6FLUKv1du5NZO2X5w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DnVKgI6FLUKv1du5NZO2X5w%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D237.60341%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m8!3m7!1s0x882b1406ef4e96df:0x676f888c05c11ec1!2s374+Queen+Mary+Dr,+Brampton,+ON+L7A+3T1!3b1!8m2!3d43.7120475!4d-79.8261659!16s%2Fg%2F11csf9_wqg!3m5!1s0x882b1406ef4e96df:0x676f888c05c11ec1!8m2!3d43.7120475!4d-79.8261659!16s%2Fg%2F11csf9_wqg?entry=ttu"
on,brampton,signed route,shared_roadway,"https://www.google.com/maps/place/94+McMurchy+Ave+S,+Brampton,+ON+L6Y+1Y8/@43.675168,-79.7575886,3a,75y,322.84h,87.22t/data=!3m7!1e1!3m5!1sAsOjW__IblgGxGs-kFJTtQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DAsOjW__IblgGxGs-kFJTtQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D31.634024%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m8!3m7!1s0x882b159e72d326e5:0xb446910964796480!2s94+McMurchy+Ave+S,+Brampton,+ON+L6Y+1Y8!3b1!8m2!3d43.6753719!4d-79.757402!16s%2Fg%2F11c1cxl7db!3m5!1s0x882b159e72d326e5:0xb446910964796480!8m2!3d43.6753719!4d-79.757402!16s%2Fg%2F11c1cxl7db?entry=ttu"
on,brampton,none,not_classified,
on,burlington,mupadj,multi_use_path,"https://www.google.com/maps/place/2229+Walkers+Line,+Burlington,+ON+L7M+5A8/@43.384663,-79.8138021,3a,75y,118.93h,78.97t/data=!3m7!1e1!3m5!1sVutL5KcAbtNEeP_XVL8DAg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DVutL5KcAbtNEeP_XVL8DAg%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D9.248864%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m8!3m7!1s0x882b616e13dd5b4b:0x45842e57186e2b9!2s2229+Walkers+Line,+Burlington,+ON+L7M+5A8!3b1!8m2!3d43.3851587!4d-79.8136426!16s%2Fg%2F11csj3l9l8!3m5!1s0x882b616e13dd5b4b:0x45842e57186e2b9!8m2!3d43.3851587!4d-79.8136426!16s%2Fg%2F11csj3l9l8?entry=ttu"
on,burlington,bl-shared,painted_bike_lane,"https://www.google.com/maps/@43.3414719,-79.7994786,3a,75y,240.97h,76.64t/data=!3m7!1e1!3m5!1sijw5nsiOJONErBWi8rp2jA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dijw5nsiOJONErBWi8rp2jA%26cb_client%3Dmaps_sv.share%26w%3D900%26h%3D600%26yaw%3D240.9724055696712%26pitch%3D13.356213474739846%26thumbfov%3D90!7i16384!8i8192?coh=205410&entry=ttu"
on,burlington,mupoff,multi_use_path,"https://www.google.com/maps/@43.3623805,-79.8183794,3a,75y,127.36h,102.5t/data=!3m7!1e1!3m5!1sfn3plmyxXg4S1CXsSpJEWw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dfn3plmyxXg4S1CXsSpJEWw%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D107.71048%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?entry=ttu"
on,burlington,bl,painted_bike_lane,"https://www.google.com/maps/@43.3400285,-79.7875413,3a,75y,329.22h,73.24t/data=!3m7!1e1!3m5!1stS8yAbm2ecuK18nY2taNSQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DtS8yAbm2ecuK18nY2taNSQ%26cb_client%3Dmaps_sv.share%26w%3D900%26h%3D600%26yaw%3D329.22041526532917%26pitch%3D16.756561043135193%26thumbfov%3D90!7i16384!8i8192?coh=205410&entry=ttu"
on,burlington,ps,shared_roadway,"https://www.google.com/maps/place/138+North+Shore+Blvd+E,+Burlington,+ON+L7T+1W4/@43.304508,-79.8400526,3a,75y,325.05h,84.73t/data=!3m7!1e1!3m5!1sn6go7KXT3Tac1AdmJHbrWQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dn6go7KXT3Tac1AdmJHbrWQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D83.179794%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m8!3m7!1s0x882c9dd20494acbb:0x2b02bbf2b3616338!2s138+North+Shore+Blvd+E,+Burlington,+ON+L7T+1W4!3b1!8m2!3d43.30454!4d-79.83975!16s%2Fg%2F11n_xsb5_j!3m5!1s0x882c9dd20494acbb:0x2b02bbf2b3616338!8m2!3d43.30454!4d-79.83975!16s%2Fg%2F11n_xsb5_j?entry=ttu"
on,burlington,shared,shared_roadway,"https://www.google.com/maps/place/2070+Kerns+Rd,+Burlington,+ON+L7P+1P6/@43.345921,-79.8495401,3a,75y,273.61h,80.37t/data=!3m7!1e1!3m5!1sP_oyTOXY35gPouXt2wfGbw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DP_oyTOXY35gPouXt2wfGbw%26cb_client%3Dsearch.gws-prod.gps%26w%3D360%26h%3D120%26yaw%3D149.0031%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m8!3m7!1s0x882b620cf5d9d6af:0x189c1c4658ff718!2s2070+Kerns+Rd,+Burlington,+ON+L7P+1P6!3b1!8m2!3d43.3457349!4d-79.8494111!16s%2Fg%2F11c22068t7!3m5!1s0x882b620cf5d9d6af:0x189c1c4658ff718!8m2!3d43.3457349!4d-79.8494111!16s%2Fg%2F11c22068t7?entry=ttu"
